order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name,users.user_id,users.name,users.city,users.membership,restaurants (3).restaurant_id,restaurants (3). restaurant_name,restaurants (3). cuisine,restaurants (3). rating,RatingRange
5865,2835,350,20-May-23,563.57,Classic Curry House South Indian,2835,User_2835,Bangalore,Gold,350, Restaurant_350, Mexican,3.2,3.0-3.5
498,2119,12,02-Dec-23,989.29,Royal Foods Multicuisine,2119,User_2119,Bangalore,Regular,12, Restaurant_12, Mexican,3.4,3.0-3.5
1816,37,45,15-Sep-23,1209.3,Annapurna Restaurant Punjabi,37,User_37,Bangalore,Regular,45, Restaurant_45, Mexican,3,3.0-3.5
148,1975,73,06-Feb-23,607.82,Spice Mess Andhra,1975,User_1975,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
660,59,124,15-Sep-23,1251.48,Spice Dhaba Andhra,59,User_59,Bangalore,Regular,124, Restaurant_124, Mexican,3.5,3.0-3.5
1987,2370,476,23-May-23,1289.36,Royal Curry House Multicuisine,2370,User_2370,Bangalore,Regular,476, Restaurant_476, Mexican,3.4,3.0-3.5
395,1797,45,01-Jun-23,315.02,Annapurna Restaurant Punjabi,1797,User_1797,Bangalore,Regular,45, Restaurant_45, Mexican,3,3.0-3.5
2762,323,247,20-May-23,1062.13,Hotel Mess Punjabi,323,User_323,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
429,1033,65,10-Jun-23,419.07,Grand Eatery Non-Veg,1033,User_1033,Bangalore,Regular,65, Restaurant_65, Mexican,3.2,3.0-3.5
1965,399,422,04-Aug-23,576.32,Sai Curry House South Indian,399,User_399,Bangalore,Regular,422, Restaurant_422, Mexican,3,3.0-3.5
548,224,12,24-Oct-23,366.07,Royal Foods Multicuisine,224,User_224,Bangalore,Regular,12, Restaurant_12, Mexican,3.4,3.0-3.5
1711,1385,331,17-Sep-23,1217.13,Spice Biryani Non-Veg,1385,User_1385,Bangalore,Regular,331, Restaurant_331, Mexican,3.4,3.0-3.5
2414,261,408,11-Mar-23,761.65,Darbar Eatery Family Restaurant,261,User_261,Bangalore,Regular,408, Restaurant_408, Mexican,3,3.0-3.5
2672,266,124,05-Feb-23,1291.7,Spice Dhaba Andhra,266,User_266,Bangalore,Regular,124, Restaurant_124, Mexican,3.5,3.0-3.5
967,307,274,20-Feb-23,868.86,Amma Mess Andhra,307,User_307,Bangalore,Regular,274, Restaurant_274, Mexican,3.3,3.0-3.5
2684,371,73,09-Jan-23,1117.83,Spice Mess Andhra,371,User_371,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
272,1489,331,27-Jun-23,1120.81,Spice Biryani Non-Veg,1489,User_1489,Bangalore,Regular,331, Restaurant_331, Mexican,3.4,3.0-3.5
435,1311,417,09-Aug-23,806.75,Hotel Biryani North Indian,1311,User_1311,Bangalore,Regular,417, Restaurant_417, Mexican,3,3.0-3.5
992,1800,206,30-Dec-23,805.67,Swagath Biryani Non-Veg,1800,User_1800,Bangalore,Regular,206, Restaurant_206, Mexican,3.2,3.0-3.5
613,812,72,19-Mar-23,992.33,Sri Foods Chinese,812,User_812,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
680,921,394,02-Oct-23,1355.5,Grand Tiffins South Indian,921,User_921,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
1869,2295,476,31-Oct-23,240.12,Royal Curry House Multicuisine,2295,User_2295,Bangalore,Regular,476, Restaurant_476, Mexican,3.4,3.0-3.5
2966,730,422,14-Feb-23,622.78,Sai Curry House South Indian,730,User_730,Bangalore,Regular,422, Restaurant_422, Mexican,3,3.0-3.5
1815,1956,72,05-May-23,534.52,Sri Foods Chinese,1956,User_1956,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
1163,746,303,20-Jun-23,734.47,Swagath Foods Andhra,746,User_746,Bangalore,Regular,303, Restaurant_303, Mexican,3.2,3.0-3.5
761,1066,37,23-Sep-23,194.03,Swagath Dhaba Andhra,1066,User_1066,Bangalore,Regular,37, Restaurant_37, Mexican,3.1,3.0-3.5
1351,1066,299,05-Aug-23,947.95,Taste of Kitchen North Indian,1066,User_1066,Bangalore,Regular,299, Restaurant_299, Mexican,3.2,3.0-3.5
